,College Name,College Location,Course,Fee in Lakhs,Public university,Scholarship,Accommodation,IELTS Score
295,East Stroudsburg University of Pennsylvania, East Stroudsburg ,MS Computer Science,12.3,Yes,No,Yes,6.0
296,Regis University, Denver ,M.S. Software Engineering,27.1,No,No,Yes,6.5
297,Prairie View A&M University, Houston ,Master of Computer Science (MSCS),25.4,Yes,No,Yes,6.0
298,University of Northern Iowa, Cedar Falls ,Master of Science in Computer Science,24.4,Yes,Yes,Yes,6.5
299,Kutztown University, Kutztown ,Master of Science in Computer Science - Information Technology,12.2,Yes,No,Yes,6.5
300,Appalachian State University, Boone ,Master of Science in Computer Science,16.8,Yes,No,Yes,6.5
301,The University of Rhode Island, South Kingstown ,Master of Science in Computer Science,38.0,No,No,Yes,6.5
302,Central Washington University, Ellensburg ,Computational Science Master’s Program,22.3,Yes,No,Yes,6.5
303,Boise State University, Boise ,Master of Science in Computer Science,24.1,Yes,No,Yes,6.5
304,Ball State University, Muncie ,Master's Degree in Computer Science,26.0,Yes,No,Yes,6.5
305,Frostburg State University, Frostburg ,Master of Science in Applied Computer Science,13.5,Yes,No,Yes,6.0
306,University of Alaska Fairbanks, Fairbanks ,MS in Computer Science,21.8,Yes,No,Yes,6.5
307,Loyola University Maryland, Baltimore ,Master of Science in Computer Science,20.4,No,No,Yes,6.5
308,Eastern Washington University, Cheney ,MS in Computer Science,30.2,Yes,Yes,Yes,7.0
309,Washington State University - Vancouver Campus, Vancouver ,Master of Science in Computer Science,23.1,Yes,No,No,7.0
310,Bowie State University, Bowie ,Master of Science in Computer Science,18.1,Yes,No,Yes,6.5
311,Southern Polytechnic State University, Marietta ,MS in Computer Science,23.5,Yes,No,No,6.5
312,West Chester University, West Chester ,M.S. in Computer Science,21.5,Yes,No,Yes,6.5
313,Oregon Health and Science University, Portland ,Masters of Science in Computer Science and Engineering,20.1,Yes,No,No,6.0
314,Mills College, Oakland ,Master in Computer Science,40.3,No,Yes,Yes,6.5
315,Rose-Hulman Institute of Technology, Terre Haute ,Masters of Science in Software Engineering,37.1,No,Yes,Yes,7.0
